Reporting Week,Workstream,Project,Status,Owner,Target Date,This Week Update,Next Milestone,Business Impact,Blocker or Risk,Leadership Ask,Help Needed,Jira Key/Epic,Jira URL,Source Slide,Source Deck,Last Updated
2026-04-29,CVP,CVP - TVE Short Form Encoding and Publish (Viewlift Support),Monitoring,,3/23,"Working with Viewlift team each week to test the SF encoding and publish workflow. Currently blocked, we need to get assets into cvp stage with all required metadata attached to test this workflow. Link to CVP stage not working. Tickets are in sprint and working towards our testing window of 3/23 Estimated release: 3/31",3/23 Estimated release: 3/31,"Supports higher-volume USA Sports clipping, publishing, and distribution workflows.","Currently blocked, we need to get assets into cvp stage with all required metadata attached to test this workflow. Link to CVP stage not working.",Yes,Clarify owner/action in weekly review.,,,4,April - Fulfillment  - Official.pptx,2026-04-29
2026-04-29,CVP,CVP - Integrate Wildmoka for USA Sports,On Track,,4/30/2026,"Extend Wildmoka integration To the USA Sports brand account enabling automated clip creation, consistent metadata, scalable distribution, and centralized monitoring within CVP workflows. Metadata package ticket created and submitted to PS team. Estimated time of completion: 4/30/2026",4/30/2026,"Supports higher-volume USA Sports clipping, publishing, and distribution workflows.",,No,,,,4,April - Fulfillment  - Official.pptx,2026-04-29
2026-04-29,CVP,CVP - Modify Content Unified calculatedAuthWindow,On Track,,4/8/26,"Investigation revealed that the Content Unified Ingest Adapter logic references multiple custom fields to update the calculatedAuthWindows value in the TVE account. It also uses logic based on authStartDateField , authWindows , and nextAuthWindowActionDate from the legacy Availability Window Revolver solution, which is now replaced by MAW (Multiple Availability Window). Changes have been implemented to stage account, aiming to release Wednesday 4/8/26 Auth window not changing when sent to CVP, Need correct FP Metadata package to give to PS team.","4/8/26 Auth window not changing when sent to CVP, Need correct FP Metadata package to give to PS team",,"Changes have been implemented to stage account, aiming to release Wednesday 4/8/26 Auth window not changing when sent to CVP, Need correct FP Metadata package to give to PS team.",Yes,Clarify owner/action in weekly review.,,,4,April - Fulfillment  - Official.pptx,2026-04-29
2026-04-29,CVP,CVP - Enable CMP,On Track,,6/30/2026,Need to work with FP team to get correct FP payloads for caption analysis. Estimated Time of Completion: 6/30/2026,6/30/2026,Improves caption analysis and publishing readiness for Versant workflows.,Need to work with FP team to get correct FP payloads for caption analysis.,Yes,Clarify owner/action in weekly review.,,,4,April - Fulfillment  - Official.pptx,2026-04-29
2026-04-29,CVP,CVP - USA Sports Account Metadata Targeting,On Track,,4/1/2026,"S3 buckets created, IAM Users Created, currently with SoftOps to give access to IAM user role. Ticket for YouTube implement is unblocked after IAM user permissions established. Estimated Time of Completion: 4/1/2026",4/1/2026,,,No,,,,4,April - Fulfillment  - Official.pptx,2026-04-29
2026-04-29,CVP,CVP - Snapped Fast Channels IVI Creation,On Track,,5/30/26,"As part of the snapped fast channel initiative, Ketki and team have asked for an IVI to be created for the delivery of the snapped fast channels. Working with PS team to identify if this is necessary or if this can be delivered out of the existing workflow we have set up for fast channels. Request for Completion: 5/30/26",5/30/26,"Supports higher-volume USA Sports clipping, publishing, and distribution workflows.",,No,,,,4,April - Fulfillment  - Official.pptx,2026-04-29
2026-04-29,CVP,CVP - NBCU content removal notice,On Track,,5/30/26,"As part of the snapped fast channel initiative, Ketki and team have asked for an IVI to be created for the delivery of the snapped fast channels. Working with PS team to identify if this is necessary or if this can be delivered out of the existing workflow we have set up for fast channels. Request for Completion: 5/30/26",5/30/26,"Supports higher-volume USA Sports clipping, publishing, and distribution workflows.",,No,,,,4,April - Fulfillment  - Official.pptx,2026-04-29
2026-04-29,Fulfillment Modernization,Modernization | Polaris-Media Shuttle PoC & Prod | 5/8 | Magda,On Track,Magda,5/8,TMT to connect the new ingest bucket to Polaris stage 4/24 - Polaris-Media Shuttle (PoC) 5/08 - Polaris-Media Shuttle (PROD),5/8 | Magda,Advances the fulfillment modernization platform and reduces legacy workflow dependency.,,No,,,,5,April - Fulfillment  - Official.pptx,2026-04-29
2026-04-29,Fulfillment Modernization,Modernization | Auto QC tool (Baton) | 5/22 | Magda,On Track,Magda,5/22,Long from scripted baton profile testing plans are documented Baton-SDVI provided licenses to be used in Stage Temporary Baton licenses will be requested for Production,5/22 | Magda,Advances the fulfillment modernization platform and reduces legacy workflow dependency.,,No,,,,5,April - Fulfillment  - Official.pptx,2026-04-29
2026-04-29,Fulfillment Modernization,Modernization | Content Hub Architecture | 3/27 | Kosta,Completed,Kosta,3/27,Architecture majority defined Contracts for major use cases defined Currently exploring expanded Versant Content Dataforge and its role in facilitating data enrichment and possible CH enhancements.,3/27 | Kosta,Enables Versant content data enrichment and production migration work.,,No,,,,5,April - Fulfillment  - Official.pptx,2026-04-29
2026-04-29,Fulfillment Modernization,Modernization | Polaris-Title Hub Integration | 5/29 | Kosta,On Track,Kosta,5/29,4/30 Title Hub API (DEV) 5/8 Title Hub API (STAGE) 5/29 Polaris-Title Hub Integration Complete (PROD),5/29 | Kosta,Advances the fulfillment modernization platform and reduces legacy workflow dependency.,,No,,,,5,April - Fulfillment  - Official.pptx,2026-04-29
2026-04-29,Fulfillment Modernization,"Modernization | On-Prem File Drop Integration (Avid, Iris QC, RFA) | 5/15 | Magda",Upcoming,Magda,5/15,Feasibility reviewed for using Transfer Services to deliver media on-prem for editing and high-res QC Signiant selected as the preferred file transfer solution,5/15 | Magda,Advances the fulfillment modernization platform and reduces legacy workflow dependency.,,No,,,,5,April - Fulfillment  - Official.pptx,2026-04-29
2026-04-29,Fulfillment Modernization,Modernization | SDVI-OL Integration (Archive) | 6/12 | Magda,Upcoming,Magda,6/12,,6/12 | Magda,Advances the fulfillment modernization platform and reduces legacy workflow dependency.,,No,,,,5,April - Fulfillment  - Official.pptx,2026-04-29
2026-04-29,Fulfillment Modernization,Modernization | Content Hub Build - Retrieval | 6/12 | Kosta,Upcoming,Kosta,6/12,Rich and Kosta currently defining and documenting DIVA restore flow,6/12 | Kosta,Advances the fulfillment modernization platform and reduces legacy workflow dependency.,,No,,,,5,April - Fulfillment  - Official.pptx,2026-04-29
2026-04-29,Fulfillment Modernization,Modernization | Polaris-Content Hub Integration | 6/26 | Kosta,Upcoming,Kosta,6/26,,6/26 | Kosta,Advances the fulfillment modernization platform and reduces legacy workflow dependency.,,No,,,,5,April - Fulfillment  - Official.pptx,2026-04-29
2026-04-29,Fulfillment Modernization,Modernization | Cloud Transcode tool and Migration | 6/29 | Magda,Upcoming,Magda,6/29,,6/29 | Magda,Advances the fulfillment modernization platform and reduces legacy workflow dependency.,,No,,,,5,April - Fulfillment  - Official.pptx,2026-04-29
